Fiscal Week,MyWay,MyWay %,Paper Ticket,Paper Ticket %,Total
22/05/2017,"288,824",0.9265019118741499,"22,912",0.07349808812585008,"311,736"
29/05/2017,"279,418",0.9257800204758481,"22,401",0.0742199795241519,"301,819"
05/06/2017,"278,553",0.9260220873253858,"22,253",0.0739779126746142,"300,806"
12/06/2017,"230,945",0.9183178454552323,"20,542",0.08168215454476772,"251,487"
19/06/2017,"255,667",0.9199666077744874,"22,242",0.08003339222551267,"277,909"
26/06/2017,"232,224",0.9169861834493597,"21,023",0.08301381655064029,"253,247"
03/07/2017,"184,199",0.9023789228221785,"19,927",0.09762107717782154,"204,126"
10/07/2017,"186,058",0.8960648047813754,"21,581",0.10393519521862463,"207,639"
17/07/2017,"270,552",0.920927762762865,"23,230",0.07907223723713502,"293,782"
24/07/2017,"289,347",0.9275101695404233,"22,614",0.07248983045957667,"311,961"
31/07/2017,"287,439",0.9298170702120433,"21,696",0.07018292978795672,"309,135"
07/08/2017,"283,099",0.9255109780178107,"22,785",0.07448902198218933,"305,884"
14/08/2017,"287,011",0.9289103360778831,"21,965",0.07108966392211692,"308,976"
21/08/2017,"289,546",0.930770664969365,"21,536",0.06922933503063501,"311,082"
28/08/2017,"289,179",0.9334377017430601,"20,621",0.06656229825693996,"309,800"
04/09/2017,"268,251",0.928779417009151,"20,570",0.071220582990849,"288,821"
11/09/2017,"275,692",0.9271819845027981,"21,652",0.07281801549720189,"297,344"
18/09/2017,"285,836",0.9224533264486148,"24,029",0.07754667355138528,"309,865"
25/09/2017,"186,664",0.9004968884171933,"20,626",0.0995031115828067,"207,290"
02/10/2017,"190,098",0.9036794067313177,"20,262",0.09632059326868225,"210,360"
09/10/2017,"288,390",0.9242676751490289,"23,630",0.07573232485097109,"312,020"
16/10/2017,"283,470",0.92640887877956,"22,518",0.07359112122044002,"305,988"
23/10/2017,"283,606",0.9272866975101767,"22,239",0.07271330248982327,"305,845"
30/10/2017,"271,914",0.9276004052712554,"21,223",0.07239959472874458,"293,137"
06/11/2017,"266,857",0.9253465840921543,"21,529",0.07465341590784573,"288,386"
13/11/2017,"266,885",0.9229697156235842,"22,274",0.07703028437641575,"289,159"
20/11/2017,"260,224",0.914603842950081,"24,297",0.08539615704991899,"284,521"
27/11/2017,"247,440",0.9190347609373085,"21,799",0.08096523906269151,"269,239"
04/12/2017,"231,279",0.9146379081245254,"21,585",0.08536209187547457,"252,864"
11/12/2017,"223,596",0.9058447477485142,"23,241",0.0941552522514858,"246,837"
18/12/2017,"178,829",0.8956631490376188,"20,832",0.10433685096238124,"199,661"
25/12/2017,"64,084",0.8458482372662117,"11,679",0.15415176273378825,"75,763"
01/01/2018,"118,937",0.8766058122480266,"16,742",0.1233941877519734,"135,679"
08/01/2018,"174,111",0.9019472749029989,"18,928",0.09805272509700112,"193,039"
15/01/2018,"184,405",0.9052684804272908,"19,297",0.09473151957270916,"203,702"
22/01/2018,"160,551",0.9024028328134222,"17,364",0.09759716718657786,"177,915"
29/01/2018,"198,345",0.9056311725787967,"20,668",0.09436882742120331,"219,013"
05/02/2018,"273,225",0.9163519650127782,"24,941",0.08364803498722188,"298,166"
12/02/2018,"311,124",0.9166477615897942,"28,291",0.0833522384102058,"339,415"
19/02/2018,"321,594",0.9283114288930776,"24,835",0.07168857110692234,"346,429"
26/02/2018,"323,775",0.9318928844858652,"23,663",0.0681071155141349,"347,438"
05/03/2018,"320,512",0.9302822379343574,"24,020",0.06971776206564267,"344,532"
12/03/2018,"280,015",0.9270945420232755,"22,020",0.07290545797672456,"302,035"
19/03/2018,"321,350",0.9319084766406636,"23,480",0.06809152335933648,"344,830"
26/03/2018,"264,037",0.9301040231929801,"19,842",0.0698959768070199,"283,879"
02/04/2018,"249,620",0.9229119680556069,"20,850",0.07708803194439309,"270,470"
09/04/2018,"293,406",0.9271972292095916,"23,038",0.07280277079040841,"316,444"
16/04/2018,"240,728",0.9161725416168736,"22,026",0.08382745838312643,"262,754"
23/04/2018,"204,504",0.912304494071252,"19,658",0.08769550592874796,"224,162"
30/04/2018,"316,553",0.9300971957783889,"23,791",0.06990280422161108,"340,344"
07/05/2018,"311,169",0.9333203359328134,"22,231",0.06667966406718656,"333,400"
14/05/2018,"313,466",0.9345087260086932,"21,968",0.06549127399130679,"335,434"
21/05/2018,"308,281",0.9348647501213003,"21,479",0.06513524987869966,"329,760"
28/05/2018,"254,083",0.9329624733788646,"18,257",0.06703752662113535,"272,340"
04/06/2018,"296,188",0.934659539151893,"20,706",0.06534046084810693,"316,894"
11/06/2018,"243,773",0.9306657402246368,"18,161",0.06933425977536326,"261,934"
18/06/2018,"280,479",0.933793884107669,"19,886",0.066206115892331,"300,365"
25/06/2018,"263,445",0.9294920420987267,"19,984",0.07050795790127333,"283,429"
02/07/2018,"244,166",0.9249517950427499,"19,811",0.07504820495725006,"263,977"
09/07/2018,"204,320",0.9105737434599307,"20,066",0.08942625654006935,"224,386"
16/07/2018,"210,123",0.9139716660649584,"19,778",0.0860283339350416,"229,901"
23/07/2018,"306,934",0.9349990251986158,"21,338",0.06500097480138421,"328,272"
30/07/2018,"314,112",0.9383452177887445,"20,639",0.06165478221125553,"334,751"
06/08/2018,"306,263",0.9375044003440687,"20,416",0.06249559965593136,"326,679"
13/08/2018,"312,132",0.939118504544675,"20,235",0.06088149545532499,"332,367"
20/08/2018,"308,382",0.9383952018549906,"20,245",0.06160479814500939,"328,627"
27/08/2018,"305,136",0.9420714481983581,"18,763",0.05792855180164187,"323,899"
03/09/2018,"290,189",0.9381453630844233,"19,133",0.06185463691557665,"309,322"
10/09/2018,"294,274",0.9363404087424948,"20,007",0.06365959125750523,"314,281"
17/09/2018,"311,626",0.9360499345180165,"21,290",0.06395006548198344,"332,916"
24/09/2018,"303,757",0.9336659105299719,"21,581",0.0663340894700281,"325,338"
01/10/2018,"206,387",0.9184021288335914,"18,337",0.08159787116640857,"224,724"
08/10/2018,"237,385",0.9231490159325211,"19,762",0.07685098406747891,"257,147"
15/10/2018,"309,915",0.9351181891146528,"21,503",0.06488181088534721,"331,418"
22/10/2018,"310,940",0.9360334026713708,"21,249",0.06396659732862918,"332,189"
29/10/2018,"299,328",0.9355169396174522,"20,632",0.06448306038254782,"319,960"
05/11/2018,"298,601",0.9347025145479417,"20,860",0.06529748545205831,"319,461"
12/11/2018,"301,559",0.930912918790266,"22,380",0.06908708120973393,"323,939"
26/11/2018,"272,602",0.9314790452922384,"20,053",0.0685209547077617,"292,655"
03/12/2018,"270,838",0.9280454500286118,"20,999",0.07195454997138814,"291,837"
10/12/2018,"245,691",0.9211293902402448,"21,037",0.07887060975975525,"266,728"
17/12/2018,"208,313",0.91610851888174,"19,076",0.08389148111825989,"227,389"
24/12/2018,"66,700",0.8751328443785508,"9,517",0.12486715562144929,"76,217"
31/12/2018,"107,085",0.8764599481089221,"15,094",0.12354005189107785,"122,179"
07/01/2019,"177,228",0.9134898872234707,"16,784",0.08651011277652929,"194,012"
14/01/2019,"186,208",0.9148561939293891,"17,330",0.0851438060706109,"203,538"
21/01/2019,"192,500",0.9147457006952068,"17,941",0.08525429930479327,"210,441"
28/01/2019,"164,997",0.9151704743997204,"15,294",0.08482952560027955,"180,291"
04/02/2019,"273,870",0.9275679410409949,"21,386",0.07243205895900506,"295,256"
11/02/2019,"310,326",0.9284998339432056,"23,897",0.07150016605679442,"334,223"
18/02/2019,"312,508",0.9327288410282737,"22,539",0.06727115897172635,"335,047"
25/02/2019,"332,252",0.9380667893886863,"21,936",0.061933210611313766,"354,188"
04/03/2019,"325,987",0.9386647393517772,"21,301",0.0613352606482228,"347,288"
11/03/2019,"285,577",0.9351774229464391,"19,795",0.0648225770535609,"305,372"
18/03/2019,"331,422",0.9426591805041213,"20,160",0.05734081949587863,"351,582"
01/04/2019,"320,156",0.943413906806656,"19,203",0.05658609319334392,"339,359"
08/04/2019,"303,402",0.9403032256464929,"19,262",0.05969677435350705,"322,664"
15/04/2019,"187,196",0.9316571110049371,"13,732",0.06834288899506291,"200,928"
22/04/2019,"182,706",0.9334688956102346,"13,022",0.0665311043897654,"195,728"
29/04/2019,"361,974",0.9791628908479565,"7,703",0.02083710915204354,"369,677"
06/05/2019,"368,299",0.9828671617932371,"6,420",0.017132838206762934,"374,719"
20/05/2019,"377,738",0.9833598000676854,"6,392",0.01664019993231458,"384,130"
27/05/2019,"288,157",0.9660005564886238,"10,142",0.03399944351137617,"298,299"
03/06/2019,"318,259",0.961972554709225,"12,581",0.038027445290774994,"330,840"
10/06/2019,"275,957",0.9597502869265816,"11,573",0.040249713073418424,"287,530"
17/06/2019,"318,090",0.9601557547767817,"13,200",0.039844245223218326,"331,290"
24/06/2019,"297,779",0.9590522169581923,"12,714",0.040947783041807705,"310,493"
19/11/2018,"284,325",0.9324852169977469,"20,586",0.06751478300225312,"304,911"
01/07/2019,"277,999",0.9566379903647626,"12,601",0.04336200963523744,"290,600"
08/07/2019,"224,808",0.9488852683206848,"12,110",0.051114731679315205,"236,918"
15/07/2019,"240,579",0.947661364656945,"13,287",0.052338635343054996,"253,866"
22/07/2019,"328,361",0.9595811708046944,"13,831",0.04041882919530556,"342,192"
29/07/2019,"334,389",0.9612718873343088,"13,472",0.03872811266569118,"347,861"
05/08/2019,"317,436",0.9605940845735312,"13,022",0.03940591542646872,"330,458"
25/03/2019,"325,081",0.9449369811408507,"18,943",0.05506301885914936,"344,024"
15/06/2020,"164,924",0.9982749123837079,285,0.0017250876162920906,"165,209"
24/02/2020,"362,263",0.9597260673174997,"15,202",0.04027393268250037,"377,465"
12/08/2019,"332,360",0.961386599712475,"13,349",0.03861340028752506,"345,709"
02/03/2020,"334,144",0.9581876837049251,"14,581",0.04181231629507492,"348,725"
02/09/2019,"315,131",0.9602031737519501,"13,061",0.03979682624804992,"328,192"
09/09/2019,"321,038",0.9609298065497125,"13,053",0.0390701934502875,"334,091"
16/09/2019,"335,305",0.9594287578258233,"14,179",0.040571242174176785,"349,484"
23/09/2019,"330,721",0.9588756324205215,"14,184",0.041124367579478405,"344,905"
19/08/2019,"331,298",0.9605207080005219,"13,617",0.03947929199947813,"344,915"
14/10/2019,"330,962",0.9592517556902334,"14,059",0.04074824430976665,"345,021"
30/09/2019,"269,833",0.9474173920065728,"14,976",0.05258260799342718,"284,809"
07/10/2019,"230,272",0.9482028074827775,"12,579",0.05179719251722249,"242,851"
13/05/2019,"379,720",0.9837127305981498,"6,287",0.016287269401850227,"386,007"
26/08/2019,"330,775",0.9615747994871988,"13,218",0.038425200512801135,"343,993"
21/10/2019,"329,642",0.9595894318883106,"13,882",0.04041056811168943,"343,524"
25/05/2020,"128,829",0.9980245421585944,255,0.001975457841405596,"129,084"
03/02/2020,"315,088",0.9522612154108389,"15,796",0.04773878458916116,"330,884"
10/02/2020,"336,056",0.9568928942610231,"15,139",0.04310710573897692,"351,195"
17/02/2020,"366,037",0.9563044398346753,"16,725",0.043695560165324665,"382,762"
01/06/2020,"132,149",0.9979384090256906,273,0.0020615909743094047,"132,422"
08/06/2020,"136,837",0.9983584071442121,225,0.0016415928557878916,"137,062"
11/11/2019,"323,739",0.959093104071433,"13,808",0.040906895928566986,"337,547"
18/11/2019,"311,821",0.9552666325595929,"14,602",0.04473336744040708,"326,423"
09/03/2020,"287,666",0.957259325812785,"12,844",0.04274067418721507,"300,510"
16/03/2020,"265,317",0.965519374654284,"9,475",0.03448062534571603,"274,792"
25/11/2019,"308,499",0.9564466573863654,"14,048",0.0435533426136346,"322,547"
23/03/2020,"93,558",0.9893826272709968,"1,004",0.010617372729003195,"94,562"
22/06/2020,"167,479",0.9982238328257151,298,0.001776167174284914,"167,777"
29/06/2020,"56,139",0.9978670079453954,120,0.0021329920546045967,"56,259"
30/03/2020,"47,801",0.996643175847546,161,0.003356824152454026,"47,962"
02/12/2019,"300,026",0.955435959493026,"13,994",0.04456404050697408,"314,020"
13/04/2020,"43,789",0.9963594165965096,160,0.0036405834034904092,"43,949"
06/04/2020,"39,492",0.9964926446468674,139,0.0035073553531326488,"39,631"
20/04/2020,"50,731",0.9969735678490714,154,0.0030264321509285643,"50,885"
09/12/2019,"285,160",0.9524795665810473,"14,227",0.04752043341895273,"299,387"
30/12/2019,"94,152",0.9306132131419761,"7,020",0.06938678685802396,"101,172"
27/04/2020,"46,305",0.9969856819894499,140,0.003014318010550113,"46,445"
23/12/2019,"99,782",0.9307414627776172,"7,425",0.06925853722238287,"107,207"
04/05/2020,"61,906",0.9967636498301319,201,0.0032363501698681307,"62,107"
06/01/2020,"173,870",0.94465814752032,"10,186",0.0553418524796801,"184,056"
13/01/2020,"217,767",0.9480248665685702,"11,939",0.05197513343142974,"229,706"
11/05/2020,"73,970",0.9972362655881362,205,0.0027637344118638355,"74,175"
18/05/2020,"102,148",0.9978508909034073,220,0.0021491090965926854,"102,368"
20/01/2020,"228,566",0.946964580907912,"12,801",0.05303541909208798,"241,367"
16/12/2019,"245,258",0.9481978063613202,"13,399",0.05180219363867979,"258,657"
27/01/2020,"197,955",0.9445724837883104,"11,616",0.05542751621168959,"209,571"
04/11/2019,"323,596",0.9598068498310826,"13,551",0.04019315016891742,"337,147"
28/10/2019,"320,983",0.9591259240666703,"13,679",0.04087407593332975,"334,662"
